優先,類別,項目,影響列或引用,狀態,原因,建議,證據位置
P0,club,波爾圖二隊,31,需主檔指定主 ID,多個 Club_ID 均承載資料，合併前需核對引用,核對各 ID 的來源、球隊級別及歷年身份；確認主 ID 與轉向關係後才遷移引用。,Club_Dim:281; Club_Dim:282
P0,club,南安普頓,25,需主檔指定主 ID,多個 Club_ID 均承載資料，合併前需核對引用,核對各 ID 的來源、球隊級別及歷年身份；確認主 ID 與轉向關係後才遷移引用。,Club_Dim:153; Club_Dim:272
P0,club,多特蒙德,17,需主檔指定主 ID,多個 Club_ID 均承載資料，合併前需核對引用,核對各 ID 的來源、球隊級別及歷年身份；確認主 ID 與轉向關係後才遷移引用。,Club_Dim:24; Club_Dim:165
P0,tournament,2026 伊朗,2,來源直接矛盾,同隊在同屆賽事出現在多個小組,回查對應分組截圖或原始文字，確認兩列的球隊名稱；不自行刪除任何一列。,National_Tournament_Groups:97; National_Tournament_Groups:120
P0,tournament,2034 新西兰,2,來源直接矛盾,同隊在同屆賽事出現在多個小組,回查對應分組截圖或原始文字，確認兩列的球隊名稱；不自行刪除任何一列。,National_Tournament_Groups:16; National_Tournament_Groups:29
P1,player,贡萨洛·拉莫斯,14,需新增主檔證據,個人頁尚未計入得獎紀錄,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Golden_Shoe:4; Ligue1_UNFP_Best_XI:12; Ligue1_UNFP_Best_XI:23; Ligue1_UNFP_Best_XI:34; Ligue1_UNFP_Best_XI:67; Ligue1_UNFP_Best_XI:78; Ligue1_UNFP_Best_XI:122; Ligue1_Golden_Boot:37; Ligue1_Golden_Boot:2; Ligue1_Golden_Boot:5; Ligue1_Golden_Boot:8; Ligue1_Golden_Boot:17; Ligue1_Golden_Boot:23; Ligue1_Golden_Boot:32
P1,player,拉斯马斯·温特·霍兰德,9,需新增主檔證據,個人頁尚未計入得獎紀錄,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Golden_Shoe:3; Premier_League_Golden_Boot:2; Premier_League_Golden_Boot:6; Premier_League_Golden_Boot:8; Premier_League_Golden_Boot:15; Premier_League_Golden_Boot:18; PL_PFA_Team_of_Year:11; PL_PFA_Team_of_Year:33; PL_PFA_Team_of_Year:56
P1,player,凯南·伊尔迪斯,6,需新增主檔證據,個人頁尚未計入得獎紀錄,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Serie_A_Team_of_Year:33; Serie_A_Team_of_Year:55; Serie_A_Team_of_Year:77; Serie_A_Team_of_Year:88; Serie_A_MVP_Young:9; Serie_A_MVP_Young:10
P1,player,哈里·凯恩,6,需新增主檔證據,個人頁尚未計入得獎紀錄,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Golden_Shoe:34; Bundesliga_Elf_des_Jahres:100; Bundesliga_Elf_des_Jahres:122; Bundesliga_Torjagerkanone:26; Bundesliga_Torjagerkanone:31; Bundesliga_Torjagerkanone:32
P1,player,Vitinha,4,需新增主檔證據,個人頁尚未計入得獎紀錄,取得同期球員檔案或明確受控別名；不得只按近似姓名採用。,Golden_Shoe:25; Serie_A_Team_of_Year:43; Serie_A_Capocannoniere:11; Serie_A_Capocannoniere:23
